"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","variable","name"
"X48",-0.202421339838589,0.0515336500311019,-0.174051047411548,0.219949701220246,-0.0756148307888533,0.0645648462782317,"X48","l-insula"
"X49",-0.0378917691082358,-0.0087684491837305,0.274009111541837,-0.127766918557995,0.15925697678283,-0.11777981053124,"X49","r-bankssts"
"X50",-0.165784260584848,-0.195914043047021,0.197665798669874,-0.159193246980002,-0.0829662796293022,0.0881044239560867,"X50","r-caudalanteriorcingulate"
"X51",-0.0789927980840253,-0.106548322133906,0.115605779911734,-0.0463061236402671,0.0526806143937928,-0.104276576100922,"X51","r-caudalmiddlefrontal"
"X52",-0.0389652837755244,0.0841535096904558,0.0581122753041617,-0.16464427766387,0.173079273758087,-0.0537208095655265,"X52","r-cuneus"
"X53",0.00462698514531419,0.114092079758562,0.109478257426764,-0.0402809961181467,0.0439065195757205,-0.0140493767782581,"X53","r-entorinal"
"X54",-0.00502654277696054,0.0925999166787443,0.0919476770613729,-0.09538302104369,0.0428599737820009,0.00179442661061149,"X54","r-fusiform"
"X55",-0.0503073910152922,0.0301237883649242,0.149319179005561,-0.127870621424889,0.112395773320132,-0.0899810152319751,"X55","r-inferiorparietal"
"X56",-0.0226588884132776,0.0993436040790962,0.112823497912196,-0.12200144765122,0.0609780992598097,-0.0757767288570778,"X56","r-inferiortemporal"
"X57",-0.120336114298595,0.266329078568622,0.00458493433715976,-0.137743885295836,0.186672620926872,0.00677699693741583,"X57","r-isthmuscingulate"
"X58",-0.02633543457671,0.0560689468605313,0.0240697097222593,-0.22464470543626,0.0940841948388196,0.0010495686120154,"X58","r-lateraloccipital"
"X59",-0.0167204665836563,0.0397035193921801,0.0945628911993368,-0.0933283032789308,-0.0233614063880721,-0.05974077792603,"X59","r-lateralorbitofrontal"
"X60",-0.0215363494749543,0.0739687409414846,0.077760391456549,-0.194971559885904,0.150035123091134,0.0178524904507932,"X60","r-lingual"
"X61",-0.0432975618770607,0.0713096761940877,0.165757230376144,-0.150343347264227,-0.0808837073725091,-0.113001052006842,"X61","r-medialorbitofrontal"
"X62",-0.0611337379159889,0.0141205779639868,0.203934080360977,-0.17717963402251,0.184733815779921,-0.120633948992357,"X62","r-middletemporal"
"X63",-7.17616943662311e-05,0.0742721236564974,0.0540175358922606,-0.0627508679161742,0.0910959625335741,0.110997427286447,"X63","r-parahippocampal"
"X64",-0.150830590467583,0.213817600249996,-0.0178470771057183,-0.0398524999010222,-0.0459390853007877,0.179244987773455,"X64","r-paracentral"
"X65",-0.151524604588409,-0.191196114562234,0.308947491555112,-0.209881740257182,0.189286148587329,-0.159174042642639,"X65","r-parsopercularis"
"X66",-0.0262293243459245,0.0467059783476433,0.187769368868936,-0.119319433691738,0.0765687056914147,-0.0724167499662939,"X66","r-parsorbitalis"
"X67",-0.123583102668136,-0.100220246191451,0.284399180026393,-0.209275095255895,0.152150725050457,-0.131013742083821,"X67","r-parstriangularis"
"X68",-0.0166852886886612,0.0584317606441476,0.0699305270590797,-0.214157391851411,0.14191262320139,-0.0101506773306917,"X68","r-pericalcarine"
"X69",-0.0690464289508253,0.0640948617985402,0.0923853585934574,-0.0827101152488009,0.0687865449323363,-0.10134979553922,"X69","r-postcentral"
